Time (s),u,delta,,Params
0,0,0.1,input rate,100
0.01,0.00050025,0.1,end time,5
0.02,0.001001001,0.1,a,0.05
0.03,0.001502252,0.1,b,0.1
0.04,0.002004004,0.1,,
0.05,0.002506258,0.1,,
0.06,0.003009014,0.1,,
0.07,0.003512271,0.1,,
0.08,0.004016032,0.1,,
0.09,0.004520296,0.1,,
0.1,0.005025063,0.1,,
0.11,0.005530333,0.1,,
0.12,0.006036108,0.1,,
0.13,0.006542388,0.1,,
0.14,0.007049172,0.1,,
0.15,0.007556461,0.1,,
0.16,0.008064257,0.1,,
0.17,0.008572558,0.1,,
0.18,0.009081366,0.1,,
0.19,0.00959068,0.1,,
0.2,0.010100502,0.1,,
0.21,0.010610831,0.1,,
0.22,0.011121668,0.1,,
0.23,0.011633013,0.1,,
0.24,0.012144867,0.1,,
0.25,0.012657231,0.1,,
0.26,0.013170103,0.1,,
0.27,0.013683486,0.1,,
0.28,0.014197378,0.1,,
0.29,0.014711782,0.1,,
0.3,0.015226696,0.1,,
0.31,0.015742122,0.1,,
0.32,0.016258059,0.1,,
0.33,0.016774508,0.1,,
0.34,0.01729147,0.1,,
0.35,0.017808945,0.1,,
0.36,0.018326934,0.1,,
0.37,0.018845435,0.1,,
0.38,0.019364451,0.1,,
0.39,0.019883982,0.1,,
0.4,0.020404027,0.1,,
0.41,0.020924587,0.1,,
0.42,0.021445663,0.1,,
0.43,0.021967255,0.1,,
0.44,0.022489363,0.1,,
0.45,0.023011988,0.1,,
0.46,0.02353513,0.1,,
0.47,0.02405879,0.1,,
0.48,0.024582968,0.1,,
0.49,0.025107663,0.1,,
0.5,0.025632878,0.1,,
0.51,0.026158612,0.1,,
0.52,0.026684865,0.1,,
0.53,0.027211638,0.1,,
0.54,0.027738931,0.1,,
0.55,0.028266744,0.1,,
0.56,0.028795079,0.1,,
0.57,0.029323935,0.1,,
0.58,0.029853313,0.1,,
0.59,0.030383213,0.1,,
0.6,0.030913636,0.1,,
0.61,0.031444582,0.1,,
0.62,0.031976051,0.1,,
0.63,0.032508043,0.1,,
0.64,0.03304056,0.1,,
0.65,0.033573602,0.1,,
0.66,0.034107168,0.1,,
0.67,0.034641259,0.1,,
0.68,0.035175877,0.1,,
0.69,0.03571102,0.1,,
0.7,0.03624669,0.1,,
0.71,0.036782887,0.1,,
0.72,0.03731961,0.1,,
0.73,0.037856862,0.1,,
0.74,0.038394642,0.1,,
0.75,0.03893295,0.1,,
0.76,0.039471787,0.1,,
0.77,0.040011153,0.1,,
0.78,0.040551049,0.1,,
0.79,0.041091475,0.1,,
0.8,0.041632431,0.1,,
0.81,0.042173918,0.1,,
0.82,0.042715936,0.1,,
0.83,0.043258486,0.1,,
0.84,0.043801568,0.1,,
0.85,0.044345182,0.1,,
0.86,0.044889329,0.1,,
0.87,0.04543401,0.1,,
0.88,0.045979224,0.1,,
0.89,0.046524971,0.1,,
0.9,0.047071254,0.1,,
0.91,0.047618071,0.1,,
0.92,0.048165423,0.1,,
0.93,0.048713311,0.1,,
0.94,0.049261734,0.1,,
0.95,0.049810695,0.1,,
0.96,0.050360191,0.1,,
0.97,0.050910226,0.1,,
0.98,0.051460797,0.1,,
0.99,0.052011907,0.1,,
1,0.052563555,0.1,,
1.01,0.053115742,0.1,,
1.02,0.053668468,0.1,,
1.03,0.054221733,0.1,,
1.04,0.054775539,0.1,,
1.05,0.055329885,0.1,,
1.06,0.055884771,0.1,,
1.07,0.056440199,0.1,,
1.08,0.056996169,0.1,,
1.09,0.05755268,0.1,,
1.1,0.058109734,0.1,,
1.11,0.05866733,0.1,,
1.12,0.05922547,0.1,,
1.13,0.059784154,0.1,,
1.14,0.060343381,0.1,,
1.15,0.060903153,0.1,,
1.16,0.06146347,0.1,,
1.17,0.062024332,0.1,,
1.18,0.062585739,0.1,,
1.19,0.063147693,0.1,,
1.2,0.063710193,0.1,,
1.21,0.06427324,0.1,,
1.22,0.064836834,0.1,,
1.23,0.065400976,0.1,,
1.24,0.065965665,0.1,,
1.25,0.066530904,0.1,,
1.26,0.067096691,0.1,,
1.27,0.067663027,0.1,,
1.28,0.068229914,0.1,,
1.29,0.06879735,0.1,,
1.3,0.069365337,0.1,,
1.31,0.069933874,0.1,,
1.32,0.070502963,0.1,,
1.33,0.071072604,0.1,,
1.34,0.071642797,0.1,,
1.35,0.072213543,0.1,,
1.36,0.072784841,0.1,,
1.37,0.073356693,0.1,,
1.38,0.073929098,0.1,,
1.39,0.074502058,0.1,,
1.4,0.075075573,0.1,,
1.41,0.075649642,0.1,,
1.42,0.076224267,0.1,,
1.43,0.076799448,0.1,,
1.44,0.077375185,0.1,,
1.45,0.077951478,0.1,,
1.46,0.078528329,0.1,,
1.47,0.079105737,0.1,,
1.48,0.079683704,0.1,,
1.49,0.080262228,0.1,,
1.5,0.080841311,0.1,,
1.51,0.081420954,0.1,,
1.52,0.082001156,0.1,,
1.53,0.082581918,0.1,,
1.54,0.08316324,0.1,,
1.55,0.083745123,0.1,,
1.56,0.084327567,0.1,,
1.57,0.084910573,0.1,,
1.58,0.085494141,0.1,,
1.59,0.086078272,0.1,,
1.6,0.086662965,0.1,,
1.61,0.087248222,0.1,,
1.62,0.087834043,0.1,,
1.63,0.088420427,0.1,,
1.64,0.089007376,0.1,,
1.65,0.089594891,0.1,,
1.66,0.09018297,0.1,,
1.67,0.090771615,0.1,,
1.68,0.091360827,0.1,,
1.69,0.091950605,0.1,,
1.7,0.092540951,0.1,,
1.71,0.093131863,0.1,,
1.72,0.093723344,0.1,,
1.73,0.094315393,0.1,,
1.74,0.094908011,0.1,,
1.75,0.095501198,0.1,,
1.76,0.096094955,0.1,,
1.77,0.096689281,0.1,,
1.78,0.097284178,0.1,,
1.79,0.097879646,0.1,,
1.8,0.098475686,0.1,,
1.81,0.099072296,0.1,,
1.82,0.099669479,0.1,,
1.83,0.100267235,0.1,,
1.84,0.100865564,0.1,,
1.85,0.101464466,0.1,,
1.86,0.102063941,0.1,,
1.87,0.102663991,0.1,,
1.88,0.103264616,0.1,,
1.89,0.103865816,0.1,,
1.9,0.104467591,0.1,,
1.91,0.105069943,0.1,,
1.92,0.10567287,0.1,,
1.93,0.106276375,0.1,,
1.94,0.106880456,0.1,,
1.95,0.107485116,0.1,,
1.96,0.108090353,0.1,,
1.97,0.108696169,0.1,,
1.98,0.109302564,0.1,,
1.99,0.109909538,0.1,,
2,0.110517092,0.1,,
2.01,0.111125226,0.1,,
2.02,0.111733941,0.1,,
2.03,0.112343237,0.1,,
2.04,0.112953114,0.1,,
2.05,0.113563573,0.1,,
2.06,0.114174615,0.1,,
2.07,0.11478624,0.1,,
2.08,0.115398447,0.1,,
2.09,0.116011239,0.1,,
2.1,0.116624614,0.1,,
2.11,0.117238574,0.1,,
2.12,0.117853119,0.1,,
2.13,0.118468249,0.1,,
2.14,0.119083965,0.1,,
2.15,0.119700268,0.1,,
2.16,0.120317157,0.1,,
2.17,0.120934633,0.1,,
2.18,0.121552696,0.1,,
2.19,0.122171348,0.1,,
2.2,0.122790588,0.1,,
2.21,0.123410417,0.1,,
2.22,0.124030835,0.1,,
2.23,0.124651842,0.1,,
2.24,0.12527344,0.1,,
2.25,0.125895629,0.1,,
2.26,0.126518408,0.1,,
2.27,0.127141779,0.1,,
2.28,0.127765742,0.1,,
2.29,0.128390297,0.1,,
2.3,0.129015445,0.1,,
2.31,0.129641186,0.1,,
2.32,0.130267521,0.1,,
2.33,0.13089445,0.1,,
2.34,0.131521973,0.1,,
2.35,0.132150092,0.1,,
2.36,0.132778805,0.1,,
2.37,0.133408115,0.1,,
2.38,0.13403802,0.1,,
2.39,0.134668523,0.1,,
2.4,0.135299622,0.1,,
2.41,0.135931319,0.1,,
2.42,0.136563614,0.1,,
2.43,0.137196508,0.1,,
2.44,0.13783,0.1,,
2.45,0.138464092,0.1,,
2.46,0.139098784,0.1,,
2.47,0.139734076,0.1,,
2.48,0.140369968,0.1,,
2.49,0.141006462,0.1,,
2.5,0.141643557,0.1,,
2.51,0.142281254,0.1,,
2.52,0.142919553,0.1,,
2.53,0.143558456,0.1,,
2.54,0.144197961,0.1,,
2.55,0.144838071,0.1,,
2.56,0.145478784,0.1,,
2.57,0.146120103,0.1,,
2.58,0.146762026,0.1,,
2.59,0.147404555,0.1,,
