Time (s),u,delta,,Params
0,0,0.2,input rate,100
0.01,0.001199997,0.1999964,end time,5
0.02,0.002399974,0.1999856,a,0.3
0.03,0.003599914,0.199967601,omega1,0.4
0.04,0.004799795,0.199942403,phi1,0
0.05,0.0059996,0.199910007,b,0.2
0.06,0.007199309,0.199870414,omega2,0.6
0.07,0.008398902,0.199823626,phi2,0
0.08,0.009598362,0.199769644,,
0.09,0.010797667,0.199708471,,
0.1,0.0119968,0.199640108,,
0.11,0.013195741,0.199564558,,
0.12,0.014394471,0.199481824,,
0.13,0.015592971,0.199391908,,
0.14,0.016791221,0.199294815,,
0.15,0.017989202,0.199190547,,
0.16,0.019186895,0.199079108,,
0.17,0.020384282,0.198960502,,
0.18,0.021581342,0.198834733,,
0.19,0.022778058,0.198701807,,
0.2,0.023974408,0.198561727,,
0.21,0.025170375,0.198414499,,
0.22,0.02636594,0.198260128,,
0.23,0.027561082,0.19809862,,
0.24,0.028755784,0.197929981,,
0.25,0.029950025,0.197754216,,
0.26,0.031143787,0.197571331,,
0.27,0.032337051,0.197381335,,
0.28,0.033529798,0.197184232,,
0.29,0.034722008,0.196980031,,
0.3,0.035913662,0.196768739,,
0.31,0.037104742,0.196550363,,
0.32,0.038295228,0.196324911,,
0.33,0.039485102,0.196092391,,
0.34,0.040674343,0.195852812,,
0.35,0.041862934,0.195606183,,
0.36,0.043050856,0.195352512,,
0.37,0.044238088,0.195091808,,
0.38,0.045424612,0.19482408,,
0.39,0.04661041,0.19454934,,
0.4,0.047795462,0.194267595,,
0.41,0.048979749,0.193978857,,
0.42,0.050163253,0.193683135,,
0.43,0.051345954,0.193380441,,
0.44,0.052527833,0.193070786,,
0.45,0.053708872,0.192754179,,
0.46,0.054889052,0.192430634,,
0.47,0.056068353,0.192100161,,
0.48,0.057246757,0.191762773,,
0.49,0.058424246,0.191418481,,
0.5,0.059600799,0.191067298,,
0.51,0.060776399,0.190709237,,
0.52,0.061951027,0.19034431,,
0.53,0.063124663,0.18997253,,
0.54,0.064297289,0.189593912,,
0.55,0.065468887,0.189208469,,
0.56,0.066639437,0.188816214,,
0.57,0.067808921,0.188417161,,
0.58,0.06897732,0.188011326,,
0.59,0.070144615,0.187598722,,
0.6,0.071310788,0.187179365,,
0.61,0.07247582,0.186753269,,
0.62,0.073639692,0.18632045,,
0.63,0.074802386,0.185880924,,
0.64,0.075963884,0.185434706,,
0.65,0.077124166,0.184981812,,
0.66,0.078283213,0.184522259,,
0.67,0.079441009,0.184056063,,
0.68,0.080597533,0.183583241,,
0.69,0.081752768,0.183103811,,
0.7,0.082906695,0.182617788,,
0.71,0.084059295,0.182125191,,
0.72,0.08521055,0.181626038,,
0.73,0.086360442,0.181120346,,
0.74,0.087508952,0.180608134,,
0.75,0.088656062,0.18008942,,
0.76,0.089801753,0.179564223,,
0.77,0.090946008,0.179032562,,
0.78,0.092088808,0.178494455,,
0.79,0.093230134,0.177949923,,
0.8,0.094369968,0.177398985,,
0.81,0.095508293,0.17684166,,
0.82,0.096645089,0.176277969,,
0.83,0.097780339,0.175707931,,
0.84,0.098914025,0.175131569,,
0.85,0.100046128,0.174548902,,
0.86,0.10117663,0.17395995,,
0.87,0.102305513,0.173364737,,
0.88,0.10343276,0.172763282,,
0.89,0.104558351,0.172155608,,
0.9,0.10568227,0.171541736,,
0.91,0.106804498,0.170921689,,
0.92,0.107925017,0.170295489,,
0.93,0.109043809,0.169663158,,
0.94,0.110160856,0.169024719,,
0.95,0.111276141,0.168380195,,
0.96,0.112389645,0.16772961,,
0.97,0.113501351,0.167072986,,
0.98,0.114611241,0.166410348,,
0.99,0.115719298,0.165741719,,
1,0.116825503,0.165067123,,
1.01,0.117929838,0.164386585,,
1.02,0.119032287,0.163700129,,
1.03,0.120132831,0.16300778,,
1.04,0.121231453,0.162309562,,
1.05,0.122328136,0.161605502,,
1.06,0.123422861,0.160895623,,
1.07,0.124515612,0.160179953,,
1.08,0.12560637,0.159458516,,
1.09,0.126695118,0.158731338,,
1.1,0.12778184,0.157998446,,
1.11,0.128866516,0.157259867,,
1.12,0.129949131,0.156515625,,
1.13,0.131029667,0.15576575,,
1.14,0.132108106,0.155010267,,
1.15,0.133184432,0.154249203,,
1.16,0.134258627,0.153482586,,
1.17,0.135330673,0.152710445,,
1.18,0.136400554,0.151932805,,
1.19,0.137468253,0.151149696,,
1.2,0.138533753,0.150361146,,
1.21,0.139597035,0.149567182,,
1.22,0.140658085,0.148767835,,
1.23,0.141716883,0.147963131,,
1.24,0.142773415,0.147153101,,
