Time (s),u,delta,,Params
0,0,1,input rate,100
0.01,0.00299995,0.99995,end time,5
0.02,0.0059996,0.999800007,a,0.3
0.03,0.00899865,0.999550034,omega1,1
0.04,0.0119968,0.999200107,phi1,0
0.05,0.014993751,0.99875026,b,1
0.06,0.017989202,0.99820054,omega2,1
0.07,0.020982854,0.997551,phi2,0
0.08,0.023974408,0.996801706,,
0.09,0.026963565,0.995952733,,
0.1,0.029950025,0.995004165,,
0.11,0.03293349,0.993956098,,
0.12,0.035913662,0.992808636,,
0.13,0.038890243,0.991561894,,
0.14,0.041862934,0.990215996,,
0.15,0.04483144,0.988771078,,
0.16,0.047795462,0.987227283,,
0.17,0.050754705,0.985584767,,
0.18,0.053708872,0.983843693,,
0.19,0.056657668,0.982004235,,
0.2,0.059600799,0.980066578,,
0.21,0.06253797,0.978030915,,
0.22,0.065468887,0.975897449,,
0.23,0.068393257,0.973666395,,
0.24,0.071310788,0.971337975,,
0.25,0.074221188,0.968912422,,
0.26,0.077124166,0.966389978,,
0.27,0.080019431,0.963770896,,
0.28,0.082906695,0.961055438,,
0.29,0.085785668,0.958243876,,
0.3,0.088656062,0.955336489,,
0.31,0.091517591,0.95233357,,
0.32,0.094369968,0.949235418,,
0.33,0.097212909,0.946042344,,
0.34,0.100046128,0.942754666,,
0.35,0.102869342,0.939372713,,
0.36,0.10568227,0.935896824,,
0.37,0.10848463,0.932327346,,
0.38,0.111276141,0.928664636,,
0.39,0.114056525,0.92490906,,
0.4,0.116825503,0.921060994,,
0.41,0.119582798,0.917120823,,
0.42,0.122328136,0.91308894,,
0.43,0.125061241,0.90896575,,
0.44,0.12778184,0.904751663,,
0.45,0.13048966,0.900447102,,
0.46,0.133184432,0.896052498,,
0.47,0.135865886,0.891568288,,
0.48,0.138533753,0.886994923,,
0.49,0.141187766,0.882332859,,
0.5,0.143827662,0.877582562,,
0.51,0.146453174,0.872744508,,
0.52,0.149064041,0.86781918,,
0.53,0.151660002,0.862807071,,
0.54,0.154240797,0.857708681,,
0.55,0.156806169,0.852524522,,
0.56,0.159355859,0.847255111,,
0.57,0.161889615,0.841900975,,
0.58,0.164407181,0.83646265,,
0.59,0.166908307,0.830940679,,
0.6,0.169392742,0.825335615,,
0.61,0.171860238,0.819648018,,
0.62,0.174310548,0.813878457,,
0.63,0.176743427,0.808027508,,
0.64,0.179158632,0.802095758,,
0.65,0.181555922,0.796083799,,
0.66,0.183935056,0.789992231,,
0.67,0.186295796,0.783821666,,
0.68,0.188637907,0.777572719,,
0.69,0.190961155,0.771246015,,
0.7,0.193265306,0.764842187,,
0.71,0.195550131,0.758361876,,
0.72,0.197815402,0.751805729,,
0.73,0.200060891,0.745174402,,
0.74,0.202286373,0.738468559,,
0.75,0.204491628,0.731688869,,
0.76,0.206676434,0.724836011,,
0.77,0.208840572,0.71791067,,
0.78,0.210983826,0.710913538,,
0.79,0.213105982,0.703845316,,
0.8,0.215206827,0.696706709,,
0.81,0.217286152,0.689498433,,
0.82,0.219343749,0.682221207,,
0.83,0.221379411,0.67487576,,
0.84,0.223392936,0.667462826,,
0.85,0.225384122,0.659983146,,
0.86,0.227352769,0.652437468,,
0.87,0.229298681,0.644826547,,
0.88,0.231221664,0.637151144,,
0.89,0.233121524,0.629412027,,
0.9,0.234998073,0.621609968,,
0.91,0.236851122,0.613745749,,
0.92,0.238680486,0.605820157,,
0.93,0.240485982,0.597833982,,
0.94,0.24226743,0.589788025,,
0.95,0.244024651,0.581683089,,
0.96,0.24575747,0.573519986,,
0.97,0.247465714,0.565299531,,
0.98,0.249149211,0.557022547,,
0.99,0.250807794,0.548689861,,
1,0.252441295,0.540302306,,
1.01,0.254049553,0.531860721,,
1.02,0.255632407,0.523365951,,
1.03,0.257189697,0.514818845,,
1.04,0.258721268,0.506220257,,
